Denalmo west=Migina
Emodulmo west=Dilosminimu
Demosmu west=Memexu
Agenu west=Meginiga
Elexinu east=Desnamigu
Desmolnu east=Mesmo-Dima
Enano west=Agimu
Anosnismo west=Dilolo
Magago west=Mo-Du
Dusnusmigu west=Daxulna
Mulnalo west=Elagemixu
Esnixa west=Dinixisnu
Amulolo west=Esmasmo
Malemixo west=Dilo
Agilusna west=Milmeme
Manisma south=Dusnaxu
Asnego west=Animagu
Alegige west=Alasmu
Daxo-A west=Axelna
Anixine west=Dosna
Axaninisme west=Melaga
Egagale west=Anemode
Agemo west=Alego-A
Asnusno west=Esno-Me
Elaximu west=Exigosnixo
Mismelnino west=Du-Esno
Mameno west=Muleno
Molnixa west=Mudalnilixu
Dasmine west=Ameguda
Exemine west=Enamule
Asmodo west=Amana
Migelnimo west=Axo-Ane
Musmu west=Asmosno
Elnosmisme west=Musnimo
Amisnu west=Enosmo
Enelnimixo west=Malusno
Masmalu west=Dusmulimo
Asmena west=Dodele
Exilno west=Esnimu
Emaxixu west=Asnu-E
Dasnude east=Enigala
Alolne west=Axudine
Molaxo west=Enigele
Dusmesne west=Ago
Daxesnu west=Egixixo
Agode west=Axexosnu
Alalelu west=Alnina
Malmu east=Esmima
Egodoligilu west=Dusninu
Mudo east=Examosmu
Exu-De west=Mudimo
Mosmala west=Du-Mixa
Emosma west=Agenu
Dexenu west=Desmexu
Amenilo west=Dexigo
Maxisme west=Mulmo
Du-Mele west=Menoda
Exu-Eme west=Magesmo
Migige west=Milmosma
Alenexa west=Dilolnu
Emo west=Desmegu
Mismine west=Anolasnu
Anigime west=Exigamo
Mulusna west=Asmisne
Dige west=Doludo
Eganamigismiga west=Aganela
Migusne west=Asnilniga
Axosme west=Dinosma
Megasnu west=Muligu
Asnasnu west=Mo-Egu
Alegiga west=Mosmixixu
Agodode west=Mixodiniga
Managinu east=Emego
Amilesno west=Asmolnu
Desmale west=Dulo-A
Enosnige west=Ano-Me
Maxexe west=Asnalmo
Danulo west=Enagoline
Ano-Me west=Ego-A
Analu west=Asmodilna
Mismimimu west=Dodode
Alnage west=Amagamu
Alixesme west=Damusno
Mo-Egu west=Esnudo
Axesna west=Egegolo
Esmeno west=Demigu
Mulnulnixe west=Migolilo
Eligo-E west=Mo-Esnu
Minisme west=Manene
Elosnu west=Egegulo
Dulmosninu west=Dagule
Migula west=Dosnu-A
Axudamo west=Maxege
Dimamo west=Degagu
Masmusno east=Dudeme
Elusmisne west=Eligaxa
Esmigixe west=Minema
Modasnu west=Daxosmo
Menigixu west=Agu-Da
Mexina west=Esnego
Dilo-Mimu west=Egosma
Dodegine west=Asmolmo
Agega west=Asmama
Do-Esmo east=Asmaxe
Aligeximo west=Mesmeme
Agusna west=Mude
Du-Axe east=Mexime
Musmago west=Memu-Du
Migudu west=Elasmo
Mulmo-E west=Mu-Egima
Mixudo west=Do-Anixe
Mimiga west=Digano
Elolno west=Digude
Dosnule west=Enigu
Mulnagu west=Desmelo
Agilme west=Musnila
Alo-Da west=Mo-Dule
Desnismu west=Degilo
Mamosna west=Daxuda
Desmexo west=Elalolnixisnisme
Dolismo west=Mo
Alodode west=Mulnele
Amudolino west=Dolo
Aginolixu west=Exexige
Dusnule west=Damismu
Asmanisnu west=Agemosmisne
Dosnexa west=Modosme
Egexisnu west=Amisme
Demexu west=Anodosno
Denodimu west=Emanusno
Amina west=Enudasmo
Emismo west=Menima
Manaxa west=Mesnegu
Dilu west=Dinu-Dige
Daxusmo west=Amodigixa
Melodisma west=Mexixu
Mododixa west=Enu-Du
Modamo west=Egagale
Exulime west=Esnola
Emo-Migimo west=Masnilu
Aligiga west=Esniliga
Asnago west=Egusmiga
Emosnixa west=Eligo-E
Dulnulo west=Mimena
Amimisme west=Amilexo
Enamo west=Egexulisnu
Esnela west=Asmile
Ego-Ema west=Agodegu
Mexaga west=Dinu
Mo-Maxa west=Aninixa
Meme west=Elixemililo
Denu-De west=Dosmilmu
Agemiga west=Musninixu
Modulne west=Aminosmu
Dexoda west=Asnasmime
Emusnu west=Enudamo
Misnimimilo west=Exodanu
Axodode west=Mosnudu
Danila west=Axudegigimo
Megusne west=Mo-Dilo
Mo-Dino west=Asmismo
Anu-De west=Emudixe
Mamelo west=Amanu-A
Enilo-E west=Agu-Me
Agu-Misna west=Egigelila
Enelmixe west=Exilasnixu
Dimusne west=Milanisno
Doludixa west=Dolmesme
Dixixo west=Dane
Almo-E east=Mesmilno
Esmelmo east=Exana
Exagaxe west=Mosnulisme
Agageximimixisme west=Alinosme
Misnanime west=Enudisnu
Emaloda west=Manalixe
Migaxismo west=Migimo
Du-Moda west=Dixusme
Migixa west=Dilusne
Mismodilmo west=Disnela
Anenudu west=Asnaxo
Elmixinu west=Melmesna
Maxolu west=Denodimu
Amelelmu west=Asne
Dodu-E west=Axanage
Amanano west=Mexanu
Doleminu west=Almosma
Dudodu east=Asmixa
Axagusme west=Modama
Amuda west=Aninu-E
Dagusne west=Mudusmismu
Damimo west=Asnusmo
Egegusma west=Anexemilininixa
Elusnigisne west=Enu-De
Eno-Exa west=Mu-Asnine
Dusnanu west=Daxusnismo
Musnano west=Mo-Disna
Du-Alo west=Degigu
Anigusme west=Mano
Elina west=Alulmigu
Dusnosme west=Almane
Dusmaxu west=Mimixe
Enemulmiga west=Mosmuda
Anosmu west=Axisne
Anamexe west=Desmu
Mududo west=Exemusma
Mudelmu west=Dixemo
Agesnismima west=Eganolimu
Du-Ama west=Amodasmo
Meleno west=Dulego
Anudilu west=Amodo-Du
Exulu-Ma east=Mu-Exa
Masnusna west=Anigixa
Dismixu west=Emigixinu
Delesminigo west=Dudu
Dasnexu west=Elmesne
Anixixa west=Musnismo
Amilo-Da west=Elnilo
Almimisnu 
Anexagina west=Alisma
Mosno-Ma west=Modelo
Misnudisne west=Axixala
Anagixa west=Dodeme
Danixina west=Milixa
Dilina west=Anaxu
Manina west=Milosma
Exelena west=Elmeme
Dolmu-E west=Mulnile
Egusme east=Memode
Exenesme west=Esnige
Demamino west=Degude
Diminu west=Mo-Dema
Mudasnima west=Dilnimo
Mamesnimu west=Musmaxo
Do-Mo-Du west=Amixego
Egema east=Dodudino
Dagudigo west=Esnudinine
Milnoda east=Delasmimixu
Emagude west=Emigulino
Dusnodinixa west=Miligu
Doligu west=Danege
Dulmalo west=Axodesme
Mamaga west=Exosmo
Elegosmimila west=Dalnalno
Aginemo west=Migene
Dismixe west=Mulmusno
Esneno west=Dixamigu
Dodosnu west=Elisna
Dudele east=Enigo
Egusniligu west=Egodesne
Amexo west=Agige
Ananego west=Dexago
Dasmu-Mima west=Amodilu
Musnena west=Dusmalnixime
Migulu west=Axelne
Digula west=Alemosme
Elmulile west=Modanu
Agagisnisno west=Enodege
Elmelo west=Magimo
Anusma west=Exalu-A
Amilexo east=Amimisme
Degema west=Agigulixo
Dosno-Do west=Mudilmo
Ege west=Ale
Do-Dodo west=Mulu-Minino
Mesneminima west=Daminu
Anilo-Mo west=Dagixu
Masnisne south=Musmu
Ago-Ago west=Misnu-A
Dalolna west=Megemu
Mu-Milmu west=Agolo-Mima
Egegelmu west=Axegimixe
Exaliga west=Asmo
Demige west=Mismismisna
Esmelmismo west=Axu-Mu
Eminigu west=Menasma
Dimo-Ma west=Maxinimo
Menesmisne west=Agixino
Dinexe west=Asnu
Anaxamo west=Mu-Anu
Mu-Mu-E east=Manodo
Exaxaxu west=Exanenila
Dusmola west=Elnilminigu
Axenemo west=Dulelo
Denixo east=Masne
Esnodixo west=Emagude
Dusnasno west=Delnexu
Anu-Exo west=Dosmenu
Esnesma west=Enudosma
Esmalne west=Emo-Exina
Dodena west=Amimalu
Amudimixo west=Mismu-A
Emesnu west=Maxusnu
Amu-Asmu west=Milusna
Egimexe west=Elu-Esme
Maxo-Mu west=Exemiga
Melmesna west=Dimodilige
Exagosmu west=Alalnimismu
Daxoligu west=Axiludine
Megaxe west=Asmame
Demalmo west=Musnexa
Manule west=Malule
Emaxula west=Enalo
Ememolo west=Menago
Dexisma west=Alo-A
Mu-Alna west=Esnago
Mixusnilina west=Du-Mo-Do
Mixene west=Dalnu-Da
Damodu west=Mu-Mo-E
Mimilixe west=Almimu
Exulile west=Digimixu
Elosne east=Anenasne
Degodige west=Exexo-Me
Delelisna west=Dimega
Modemo west=Axexige
Mulmimilo west=Elimolo
Mudima west=Denima
Eludino west=Elimixu
Emulaxu west=Molnosne
Dodismo west=Ego
Miliga west=Amegamo
Exula west=Agexudu
Mosnesne west=Dinisno
Axesnu west=Dine
Elemaxe east=Mexismo
Megelo west=Mu-Enina
Mosmu-Miniximo west=Mo-Mo-E
Dimesme west=Malamilima
Egenosnu west=Alnaxa
Anulamu east=Migu
Axo-Alisnixo west=Digigu
Axinulu west=Elmu
Enaxodilnine west=Diginige
Mulasno west=Elelila
Do-Muda west=Mosno-Me
Axusmixo west=Alegoda
Esmimu west=Dixolima
Emaxe west=Delegigo
Enegigo west=Dusmaxinino
Molasne west=Alixexa
Migilna west=Demasme
Minixila west=Dusnasnu
Do-Esma west=Minulnu
Animudu west=Mesmema
Musmamo west=Milnigigu
Emu-Me east=Axenu
Elnasno west=Mismudo
Amosno west=Mudaxa
Esmalu west=Anexudilo
Emalno west=Esmama
Du-Maxe west=Eme
Agu-Mo west=Dulme
Dusmigimilna west=Dudenime
Ego-Do west=Agisne
Agigudu east=Molola
Dulego west=Dusno-E
Elusme west=Musmale
Asmelnismixa west=Exudima
Disnixa west=Agodusne
Mimula west=Degu-Do
Minixo west=Alu-Ele
Malagisma east=Elmila
Migode west=Musmoda
Exo west=Desmemu
Dixole west=Egexila
Enosnu west=Enegilne
Ego-Du west=Mixaxo
Duligimigo west=Alno
Egago-Dixa west=Agolanu
Miligu west=Dilanilu
Egelemu west=Dixaxu
Elosmigo west=Esmu-Da
Axodu-Da west=Anasno
Modimisma west=Mulegixo
Axu-Ama west=Mudexe
Axelnu west=Desnula
Emagasmo west=Manelu
Malamismu west=Dismime
Malexo west=Dosnule
Agusne west=Dalaxu
Malosno west=Duloda
Milimilnixinigine west=Agosnine
Dexege west=Eludinisma
Do-A west=Amigama
Mulosna west=Dinenime
Enilmimu west=Musmemo
Enimaga west=Enegenixu
Axuline west=Asnaxu
Enigelu west=Enimexu
Modesnima west=Digosno
Mudilmo west=Mulu-A
Anemala west=Denosno
Misnelnu west=Mulnosnu
Daminu west=Mosmismu
Danilo west=Dena
Dodexe west=Exaxaxu
Mamana west=Agosno
Esnodigu west=Asnesmu
Egigu-E west=Mixesma
Dasnode west=Axenisna
Dimusno west=Anu-Dixa
Eginega west=Dolexigo
Agoluda west=Desnilme
Examosmu west=Mudo
Mixesno east=Elmismixu
Eno-Mo west=Enudanige
Esmesnu west=Egamexina
Dudile west=Elilodu
Dudanu west=Egoligu
Misme west=Mu-Daxe
Eno-Du west=Emosno
Delega west=Agana
Egasmigo west=Memixo
Enelane west=Musnu
Enilulo west=Amamelu
Dimolu west=Delmime
Elamimimiligiga west=Memulu
Dosmenu west=Emudesnixe
Amalu-Mu west=Melno-E
Dosmaxisma west=Disnaxu
Dimude west=Dismege
Axusna west=Elnana
Axago-Du west=Agalmilixo
Dosnolime west=Migelu
Dosmolixo west=Migosna
Mo-Exina west=Elanana
Mimu-Mixe west=Mudege
Eganimo west=Exu-Ala
Dinime west=Memasme
Mesme east=Digaxo
Menago west=Amamino
Du-Mo-Do west=Eligudine
Mexigigixisno east=Mimulno
Elmole west=Maxigu
Elusno west=Exigelmu
Modimixo west=Digama
Dosmulnu west=Emalisna
Dinu-De west=Mosmelmiga
Dusnixisna west=Anulna
Egesno west=Egodoligilu
Analisno west=Deleno
Du-Ame west=Axo-Alisnixo
Mimagu west=Megusna
Mesmalme west=Agalmo
Meludu west=Anegudisno
Emelnu west=Alnela
Eno-E west=Migale
Mismesmu west=Dosmu-Mo
Exanegixo west=Exegimisnixa
Du-Asme west=Elmena
Danoda west=Esmesnu
Alu west=Esmixa
Mosno-Me west=Axinana
Amaximigu west=Enenigu
Musnige west=Asnolna
Emimu-Misma west=Esmulme
Disneno west=Damu-E
Dulmesmu west=Mixigo
Dagu east=Asneno
Esmisne west=Egilexe
Mosno west=Anudinilne
Dinulu west=Mosnodu
Demu west=Axexolma
Ememo-E west=Dusnaxo
Esnusmo west=Exaxega
Emamamu west=Egexisnu
Mismamimo west=Anigilo
Denalu west=Anolu-Do
Alo-Elu west=Delnele
Exelo-Dine west=Enolina
Exilmu west=Manaxa
Eninega west=Esmusnigu
Me west=Asmulno
Exigesnixixixilu west=Emodesmu
Dismisme west=Ano-Anu
Mo-Dusmu west=Agisna
Agamanu west=Dulnexo
Dudismo west=Du-Dexe
Disnula west=Du-Emo
Alno-E west=Exulexu
Anismu west=Masmo-E
Exemulmo west=Mixisna
Esnimismo west=Asmosma
Asmisno west=Esno-A
Elo-Ago west=Minolo
Dudo-E west=Denulme
Desnula west=Degexo
Agilnu west=Aliximu
Enusna west=Dusmu
Agamala west=Dagodo
Dolego west=Ago-Ago
Milmu-De east=Amenigu
Minigu west=Mudo-Da
Anodile west=Emusnu
Egusno west=Ala
Aginelimismo west=Esmege
Amude west=Axodode
Emegegu west=Emodaga
Exalu-A west=Desnasmo
Mixo-E west=Mimixo
Eminixu west=Mu-Ago
Dela west=Anelmu
Dudamo west=Dasmixa
Mesmusmo west=Elu-Du
Mo-Esne west=Eginode
Mulnosnu west=Masmiga
Manemo west=Migu-Do
Exinisnigigigu west=Mesmige
Mo-Mame west=Enusmu
Anulme west=Eligenigu
Mo-Dilo west=Dasnaxo
Egasmixa east=Asmulno
Agoda west=Elodenina
Mu-Egixu west=Exanesna
Manesmo east=Esmimo
Desmasnino west=Amode
Amasna west=Esmosme
Enu-Mu west=Malina
Enalminu west=Emelo-E
Emosme west=Alaxasne
Asnanixa west=Emosmino
Dulimo west=Dimodu
Esnismo west=Exigago
Anesnismu west=Dududu
Egenaxo west=Elulema
Agamesme west=Daxixu
Mesnaxa west=Esnano
Mudilo west=Amexime
Exulme west=Amagago
Asnesninixu west=Delilnixa
Danage west=Musmasne
Emimalo west=Dulola
Manulo west=Dagemo
Mismule west=Emulage
Menixu west=Musnano
Masmimu west=Dasnigo
Dimile west=Axu-Ego
Miliximo east=Do-Dosmu
Magudo west=Masme
Agemasmiga west=Mudemu
Du-Dusnu west=Misne
Deneme west=Amalenimu
Emulo-E west=Emenodu
Amaxo west=Mino-Du
Malisna west=Dolego
Emegusmo west=Asmige
Emo-Mu west=Dusmamismo
Damamile west=Exemine
Ano-Ma west=Egamusmo
Maxigu west=Alusna
Anilnigo west=Egusna
Egegu west=Anodosnige
Dasmaxu west=Anodano
Axosmo west=Eninole
Desma west=Mimene
Egalinu west=Esmuda
Mesmo-A west=Elamo-A
Exu-Ma west=Denola
Enigala west=Dasnude
Mama west=Ego-Amimu
Axismige west=Dagula
Amodasmo west=Mexolne
Exudusma west=Agusmu
Denolme west=Anulme
Desnole west=Axolexa
Mexanu west=Mosno-Ma
Masna west=Daga
Dusmilnigu west=Asmiliga
Dina west=Esnexo
Mexine west=Du-Elme
Ananime east=Esmolnu
Minusna west=Emasmigilno
Daxama west=Esnosnu
Esmimine west=Mimalo
Mosnelna west=Digo-Do
Memimimismo west=Muda
Enenigu east=Amaximigu
Mixeniga west=Mamelisme
Damixu west=Anamexe
Esmala west=Amenilo
Minamixisme west=Ego-Exu
Elnexe west=Danuda
Digixinu west=Mixudimu
Emime west=Masnixina
Mu-Ala west=Alneximu
Mexolu west=Megege
Asno-A west=Amodime
Mamosne west=Du-Musma
Egisma west=Magela
Egegine west=Esnosme
Elodasninu west=Dismixe
Denudimo west=Elnu
Mu-Denimu west=Mexo-Dinino
Anu-Ane west=Manu-Mu
Egolu-E west=Amismo
Exaneme west=Maxexe
Menelimo west=Mesnegixu
Asno-De west=Egolu-Migu
Enilolmo west=Amilo-Da
Demusmu west=Du-Dixa
Do-Asnu west=Axelesmiga
Mu-Mu west=Esmu-De
Eludenilnisno west=Asmele
Migame west=Egasmo
Agisna west=Alnismine
Mamiga west=Asnegile
Menala west=Eludoda
Emusma west=Enelodisne
Amixaxa west=Mo-Desmu
Mo-Daga west=Dulodo
Agilusmo west=Eginu-Dilnilma
Daline west=Dode
Esnele west=Delisna
Dudeme west=Masmusno
Axudane west=Exigasme
Do-Ego east=Dolmelo
Milusmo west=Exosmilige
Dinexisno west=Demismixe
Du-Axixe west=Eligaxo
Mo-Milu west=Amexigimiga
Delaga west=Eminigu
Asnosne west=Migudo
Dalime west=Aligu
Axo-Enu east=Ememe
Anixaxe west=Dusnela
Minalu west=Mamaxo
Migamimile west=Axulemo
Mamego west=Egigosmu
Exosmo west=Axo-Misnu
Egulosme east=Malo-E
Exodilu west=Anexilu
Almelu west=Daneno
Enilno west=Emudelo
Malmole east=Anosnu
Dudaxino west=Du-Mismimo
Esmolme west=Maxo
Egolodo west=Agixodu
Mudinu west=Digasnu
Alusnu west=Esmulo
Egodile west=Menalne
Agasna west=Amodolixo
Anulosne west=Axelamu
Emesnige west=Danu-De
Migemu west=Du-Mu
Amo-Age west=Exelagiga
Dodu-A west=Molano
Du-Mixa west=Elilenu
Do-Dosmu west=Miliximo
Malmina west=Malasna
Eximolna west=Dasmemo
Enexiligo west=Esmalixa
Molana west=Egixegu
Molu-E east=Amasnilu
Egelulo west=Asnusme
Ememigo west=Desnasne
Dusmodigixo west=Exanalma
Axanasnigixime west=Anu-De
Mile west=Alemaxa
Du-Ele west=Elisnu
Enexo-A west=Amexeme
Amolilima west=Axanulixu
Memilmima west=Dagismo
Asmesmo west=Dolodu
Digusno west=Mimemu
Emenodu east=Emulo-E
Anu west=Mexo-A
Anolmu west=Dasmosma
Mosnulno west=Mulme
Damolno west=Dexixu
Exosnu west=Exinelo
Musnixe west=Mismego
Axilenu west=Mosnisne
Elmodixa west=Mamulinu
Dagode west=Dimilu
Alinu-A west=Axismigo
Demego west=Almelu
Mosmu-A west=Elasne
Egelina west=Mismexe
Agolane west=Agageximimixisme
Dilnane west=Eneganige
Asmaxa west=Mudena
Eligaxa west=Axixaxo
Masmolne west=Manigu
Emodosmo west=Emaloda
Mimosnigu west=Misnude
Mimilmo west=Desmeno
Esnexo west=Musnego
Musnusmu west=Musnenu
Dininu east=Emisno
Mesmigo west=Alaxama
Molmino west=Damulile
Migu-A west=Menesmu
Anixa west=Meganu
Egegudu west=Eminesne
Mosne west=Elnesnu
Axigu-A west=Esnanu
Esmagimo west=Mudamo
Agulma west=Esmodigu
Elemixo west=Eludenilnisno
Axamu west=Modage
Menimigu west=Enula
Enagu-A west=Exosma
Daxola west=Dusnosme
Egegolilu west=Enimima
Exexige west=Dulesme
Anigilo west=Alamane
Musmusmigu west=Axu-Ama
Agagilu west=Mesmaxu
Amelexo west=Memusmu
Dinimo west=Elisno
Megu-Da east=Agolmu
Menu-E west=Exinilu
Dimosmu west=Elmenixo
Milelminima west=Asmosme
Almo-Mu west=Mismimigu
Maxixa west=Dulu-A
Masnilu west=Mina
Anasmime west=Agusmixe
Dolege west=Asnimixe
Mu-Dimu west=Digolma
Dusmodixa west=Agudano
Axilane west=Enesne
Almanima west=Molminiligismine
Eluda west=Alnesnilo
Dulelu west=Dageme
Axilo-E west=Amexeno
Du-Mo-E west=Modine
Molenile west=Modismo
Maxudo west=Anelmo
Aligulnu west=Asmasne
Mu-Egu west=Eminixila
Exodanu west=Amimexa
Magu-Ma east=Mimasna
Desnesna west=Axisma
Mamima west=Agesmu
Mo-Mulu west=Age
Daxesno west=Ago-Agu
Damena west=Dudaxo
Modegixe west=Eno-A
Dismodu west=Mamesnimu
Degaga west=Exa
Dexexu west=Esnexa
Emudelo west=Menaxo
Axilosnigo west=Agixode
Mamusnilo west=Denu-E
Delenu west=Denanimo
Asnulixu west=Demolu
Agigusmo west=Eludila
Mago-Dine west=Maxo-Mo
Dulnulmina west=Esmilno
Anudelixu west=Elaxa
Dilmusna west=Amolemila
Exulmo west=Axamege
Alesmo west=Alilna
Daxesnixu west=Emaxamo
Elegodu west=Egesma
Muliga west=Dexema
Malusma west=Musnena
Malasna west=Alna
Amalima west=Agigilmismu
Amelmo west=Memimu
Melno-E west=Esnoda
Mixolixe west=Emu-Ega
Aludina west=Dosneno
Alegudilo west=Emegule
Exaxesmilu west=Egagala
Elulema west=Desnena
Amilano west=Demexixu
Mimusnisma west=Anusma
Anisna west=Axosnu
Du-Mexisne west=Asnosna
Axudolo west=Exexexe
Magilno west=Demolmino
Alulmigu west=Eganaxo
Mimimilu west=Emanalixisno
Egulmo west=Asnodo
Damu-A west=Anemenime
Agu-Dige west=Enimixu
Desmo west=Egamine
Manuda west=Dinana
Asmana west=Enemesma
Dulmege west=Axanu
Dego-E west=Misnodininigo
Dusmulo west=Desnesna
Alu-Mu west=Molixo
Asmudo west=Enenesme
Manodo west=Mu-Mu-E
Alulelne west=Esmulma
Dudame west=Digosma
Mosnesmu west=Menilo
Emisne west=Denixu
Asmegixa west=Dilosnisne
Axismigo west=Esnege
Delaniga west=Egosme
Mosmige west=Amoleno
Elnigo west=Enisnime
Masmodo west=Mo-Ene
Axixala east=Misnudisne
Asmismu west=Almolno
Amosna west=Misnulu
Esmale west=Enego
Dulusme west=Axalagixa
Agu-Ma west=Enolno
Dosmosmo west=Manu-A
Axixanu west=Dolnolo
Dagemilixe west=Axulmu
Enudigisna west=Amelmo
Elusma west=Dosmo-A
Ananino west=Emelene
Disnu west=Ma
Exixama west=Damodu
Dixu-Da west=Anosnismo
Analalme west=Mudesna
Eligimimisnu west=Exulile
Milegigimilu west=Egalexixe
Exelalma west=Egixene
Esmodigu west=Egalme
Exismo west=Dasmelo
Maxalo east=Elulodo
Modu west=Mesmanu
Misminilnu west=Mesnine
Enolina west=Mexixo
Eneganige west=Esmixu
Axo-Me west=Ego-Esna
Exulima west=Manelile
Mosnaxilninu west=Elusna
Exemismo west=Mesmesmu
Amimusme west=Enodanu
Dulu-Mina west=Dusmemo
Megesna west=Axenelo
Mimulina west=Axagaxo
Axamodu west=Egu
Migu west=Anulamu
Exu-Ema west=Masmalo
Degigu west=Dilinila
Elisminu west=Axusmixo
Milnasmime east=Desmusninu
Dudo-Mo west=Esmimu
Digiginu west=Dolnodilmu
Mixegixe west=Mulu-E
Alasmila west=Elagude
Dismago west=Emaxixu
Meniline west=Mimolna
Moligu west=Elemolmo
Dodexa west=Axagosnu
Minisna west=Migalme
Eximu-E west=Dixa
Magolu west=Dosmixe
Asme west=Enismigu
Magala west=Agu-Mo
Dagamo west=Asnago
Mexe west=Enaxamo
Denasnixe west=Amasna
Enegesnu east=Danu-Dininu
Asno west=Elusme
Esmesno west=Elu-Milige
Alu-Ema west=Delmiga
Misnusma east=Amamole
Dododu west=Mulnulnu
Malolnixixu west=Emosnu
Minulino west=Agelmu
Dolmodigila west=Dulnelme
Analo-E west=Memixa
Delano west=Dixiga
Alosnu west=Exismu
Agudano west=Amismu
Du-Mixe west=Damima
Egemamo west=Mixusnilina
Enenesno west=Axesne
Exesne west=Emulmige
Daxila west=Almigu
Egixusne west=Enodelnige
Diname south=Emu-Milnu
Elesno west=Enelo-A
Dalmixigo west=Dusma
Asmego west=Axinosnimu
Agodiga east=Emigemimismo
Dixexo west=Mudega
Minexigo west=Amimu
Aminele west=Dolnolisnu
Mexasnu east=Emigu
Agigilmismu east=Amalima
Esnoda west=Daxulnimu
Axemigo west=Agisma
Axexulo west=Dolagimismo
Mu-Dego west=Dulnodu
Dixosna west=Menelu
Enanaga east=Amene
Enememe west=Dalemo
Egesnu west=Alno-Me
Dismega west=Alaxine
Mo-Mudo west=Elmuda
Exudixa west=Egagesno
Melena west=Elesnu
Emusne west=Axo-Eno
Dasnemisne west=Mamele
Enolulminino east=Musmigimima
Dalaxa west=Mane
Egodo west=Demisna
Dimiga south=Alinu-A
Delo-E west=Agoluda
Axisnima west=Dilinigo
Emo-Asne west=Eno-Mu
Melelo west=Axodasne
Mismosnu west=Mimudo
Asmaxo west=Mexexe
Axigola west=Emesnige
Esmolo west=Aludaga
Mo-Alina west=Elnola
Musnemu east=Mosnige
Amu-Mimo west=Ego-Eno
Delegigo west=Dinisme
Megu-A west=Esmage
Esmo-A west=Malmina
Egusma east=Diganile
Mixola west=Esmosmu
Elulilo west=Dosmasnilma
Axemixinu west=Mexo-Do
Dolo-A west=Axilno
Anu-E west=Anolulna
Alulmu west=Mo-Molimu
Amimexe west=Mismeligo
Dema west=Eganimo
Melmu west=Musmane
Damuligo east=Egigelila
Amodo west=Axulusmu
Do-Amisne west=Modaga
Degasnu west=Mosmolo
Ma west=Elesme
Axasnisnu west=Dulila
Dismisma west=Delmo
Alema west=Dulosmixu
Elmismo west=Elamigo
Egixamu west=Melile
Molna west=Denaga
Esnixo west=Du-Emu
Mismode west=Emixeno
Dimilmisme west=Dile
Memu west=Esmole
Elimelo west=Elaxexigu
Megaxo west=Asnixo
Doludo west=Mesmina
Asmosne west=Anigeno
Axusma west=Mine
Emudesno west=Dulnigu
Esmulixo west=Emelnu
Dolega west=Agulasnu
Elegima west=Musnaga
Mixosme west=Enexesme
Alasme west=Agexixu
Enododa west=Misnigilmu
Anino west=Emixo
Dudaxisne west=Mismemu
Exolnu west=Mo-Alina
Alalodinu west=Agudilne
Exolale east=Dimo-Da
Delodismu west=Daligimu
Agudasmu west=Menalma
Dexe west=Exesmiximu
Dolesnu west=Mosmesno
Egaxilnila west=Emanola
Dagila east=Elasma west=Ela
Esmegu west=Meguda
Minu-A west=Male
Memolne west=Exe
Dulanimo west=Demu
Dixu west=Masmalino
Musmisnigilmila west=Mulnusne
Diginige west=Dinalo
Agulolmo west=Egagasna
Demosnu west=Mu-Mega
Mininile west=Daxale
Milolu west=Egismima
Egixu west=Dosmego
Danasna west=Mismane
Mesmo-Dima west=Desmolnu
Egegu-Minu west=Asnige
Elimu-Me west=Dagego
Dinusne west=Dusnusmigu
Mixisnisnu west=Axegimu
Mixodu west=Asmulo
Dodu-Migigu west=Elesna
Emu west=Asminu
Manexixa west=Elemudinigilo
Anaxudu west=Asmisno
Enegosme west=Alegige
Emulmige west=Dixosnigo
Emaxila west=Enexo-A
Melenimu west=Mixodigu
Almosma west=Amolilima
Anelosmo west=Dosnenu
Emagixima west=Melisma
Mixaga west=Enusnu
Milusna west=Anosme
Almasnixa west=Damemu
Minoda west=Elaximu
Molame west=Eninusno
Emusme west=Musnusno
Do-Esne west=Menela
Mesnixilo west=Dodu
Malodo west=Elnexa
Masmudixe west=Do-Axinu
Alegesnu west=Esnudu
Exanodo west=Enasnu
Mulnaxa west=Esmude
Eludodo west=Mo-Esna
Milna west=Manemo
Axolno west=Exinisnigigigu
Dexanige west=Elosmimo
Dexixo west=Dasno-Minu
Elmulinine east=Dexago
Danilu west=Daxesnu
Dalixinile west=Damano
Mosmamilu west=Dasnilu
Eludage west=Dinexinu
Egagamino east=Alemosme
Mesnane west=Axegigu
Migale west=Egulixu
Alimaxo east=Anixosme
Minusno west=Demasma
Mosnaxe west=Enu-Mu
Mexexe west=Mimale
Aninaximu west=Mo-Ena
Agosnu west=Dixilnu
Do-Exe west=Agaxaxu
Emasmisno west=Anesnismu
Mixuda west=Alosno
Malnosne west=Desmo-A
Enalodu west=Dodagu
Dosnulu west=Molo
Eginenu west=Enegosme
Esnemilu west=Dasma
Maxodu west=Alosnisnisnixo
Elmasmu west=Desnesme
Emamila west=Axilesme
Asnulisne west=Asnasnu
Elosnismo west=Misnosnine
Dixe west=Agodode
Doleme west=Almale
Anusmimo west=Digismo
Mu-Dudo east=Misma
Delnele west=Mala
Molmode west=Anema
Egolexu west=Du-Ege
Exane west=Dixaxo
Anememima west=Elodamixu
Mesmu west=Asmelo
Axaxagixu west=Egasma
Elnamima west=Megine
Axolisnu west=Du-Mexe
